Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Endothelial Cell Proliferation (GO:0001935)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	HMOX1
Positive Regulation Of Phosphoprotein Phosphatase Activity (GO:0032516)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	PPP1R15A
Maintenance Of Protein Localization In Organelle (GO:0072595)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	HSPA5
Regulation Of DNA Damage Checkpoint (GO:2000001)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	CRY1
Myoblast Fusion (GO:0007520)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	KCNH1
Sphingolipid Metabolic Process (GO:0006665)	2/94	0.09463378940922954	0.23563542405908444	0	0	3.9851046698872787	9.395843413311301	ORMDL2;SGMS2
Positive Regulation Of Epithelial Cell Migration (GO:0010634)	2/95	0.09633471840106068	0.23918534368720493	0	0	3.9420549581839905	9.224118868110203	WNT5A;CALR
Negative Regulation Of Fatty Acid Metabolic Process (GO:0045922)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	TRIB3
DNA Catabolic Process (GO:0006308)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	ISG20
NADP Metabolic Process (GO:0006739)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	ALDH1L2
Negative Regulation Of Protein Dephosphorylation (GO:0035308)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	PPP1R15A
Regulation Of Neuroinflammatory Response (GO:0150077)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	NUPR1
Bicarbonate Transport (GO:0015701)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	CYB5R1
Regulation Of Smooth Muscle Cell Migration (GO:0014910)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	NDRG4
Chondroitin Sulfate Proteoglycan Biosynthetic Process (GO:0050650)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	CHPF2
Dopaminergic Neuron Differentiation (GO:0071542)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	MANF
Insulin Secretion (GO:0030073)	1/19	0.0995272639526803	0.2402477565968866	0	0	10.128440366972477	23.369590125738124	PTPRN
Regulation Of Angiogenesis (GO:0045765)	3/205	0.1037520279528114	0.2460625667238778	0	0	2.732673267326733	6.191558755386831	ADM2;WNT5A;HMOX1
Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)	1/20	0.10448456515662936	0.2460625667238778	0	0	9.594881699661999	21.67211204877382	VAV3
Negative Regulation Of Phosphoprotein Phosphatase Activity (GO:0032515)	1/20	0.10448456515662936	0.2460625667238778	0	0	9.594881699661999	21.67211204877382	PPP1R15A
Negative Regulation Of Reproductive Process (GO:2000242)	1/20	0.10448456515662936	0.2460625667238778	0	0	9.594881699661999	21.67211204877382	CALR
Regulation Of Phosphatase Activity (GO:0010921)	1/20	0.10448456515662936	0.2460625667238778	0	0	9.594881699661999	21.67211204877382	HSP90B1
Response To ATP (GO:0033198)	1/20	0.10448456515662936	0.2460625667238778	0	0	9.594881699661999	21.67211204877382	HSP90B1
Positive Regulation Of Leukocyte Activation (GO:0002696)	1/20	0.10448456515662936	0.2460625667238778	0	0	9.594881699661999	21.67211204877382	WNT5A
Glutamate Metabolic Process (GO:0006536)	1/20	0.10448456515662936	0.2460625667238778	0	0	9.594881699661999	21.67211204877382	ALDH18A1
Intracellular Monoatomic Ion Homeostasis (GO:0006873)	1/20	0.10448456515662936	0.2460625667238778	0	0	9.594881699661999	21.67211204877382	SLC39A14
Negative Regulation Of Cell Differentiation (GO:0045596)	3/207	0.10602256677419034	0.24900975818046328	0	0	2.705607476635514	6.071662703165954	WNT5A;TRIB3;CALR
Hemopoiesis (GO:0030097)	2/101	0.10671936678144069	0.2496690273898411	0	0	3.702020202020202	8.283465040415878	WNT5A;PGM3
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	5/456	0.10701136439490848	0.2496690273898411	0	0	2.0524759793052474	4.586914862434072	RBM15B;WNT5A;CRY1;TRIB3;CALR
Protein Stabilization (GO:0050821)	3/208	0.10716518667020797	0.2496690273898411	0	0	2.692272623660816	6.012878155210564	SEL1L;SYVN1;CALR
Calcium Ion Homeostasis (GO:0055074)	2/102	0.10847865776949771	0.2515383082484509	0	0	3.664814814814815	8.140293365711358	SLC24A3;CALR
Regulation Of Neurotransmitter Transport (GO:0051588)	1/21	0.10941482223005114	0.2515383082484509	0	0	9.114678899082568	20.16721975855724	MCTP2
Positive Regulation Of Heart Contraction (GO:0045823)	1/21	0.10941482223005114	0.2515383082484509	0	0	9.114678899082568	20.16721975855724	ADM2
Histone H2A Acetylation (GO:0043968)	1/21	0.10941482223005114	0.2515383082484509	0	0	9.114678899082568	20.16721975855724	MORF4L2
Zinc Ion Transmembrane Transport (GO:0071577)	1/21	0.10941482223005114	0.2515383082484509	0	0	9.114678899082568	20.16721975855724	SLC39A14
Positive Regulation Of Inflammatory Response (GO:0050729)	2/104	0.11202042902594994	0.2553791763151111	0	0	3.5925925925925926	7.864451117162118	WNT5A;NUPR1
Macroautophagy (GO:0016236)	2/104	0.11202042902594994	0.2553791763151111	0	0	3.5925925925925926	7.864451117162118	CALR;SQSTM1
Intrinsic Apoptotic Signaling Pathway (GO:0097193)	2/105	0.11380263712485764	0.2553791763151111	0	0	3.5575332614167565	7.731549982586153	PPP1R15A;TRIB3
Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)	1/22	0.11431818134243751	0.2553791763151111	0	0	8.680209698558322	18.825375384313688	VAV3
Fc-epsilon Receptor Signaling Pathway (GO:0038095)	1/22	0.11431818134243751	0.2553791763151111	0	0	8.680209698558322	18.825375384313688	VAV3
Negative Regulation Of Macroautophagy (GO:0016242)	1/22	0.11431818134243751	0.2553791763151111	0	0	8.680209698558322	18.825375384313688	NUPR1
Negative Regulation Of Myeloid Cell Differentiation (GO:0045638)	1/22	0.11431818134243751	0.2553791763151111	0	0	8.680209698558322	18.825375384313688	HSPA9
Regulation Of Mitochondrial Translation (GO:0070129)	1/22	0.11431818134243751	0.2553791763151111	0	0	8.680209698558322	18.825375384313688	SHMT2
Peptidyl-Glutamic Acid Modification (GO:0018200)	1/22	0.11431818134243751	0.2553791763151111	0	0	8.680209698558322	18.825375384313688	GGCX
Positive Regulation Of Phosphatase Activity (GO:0010922)	1/22	0.11431818134243751	0.2553791763151111	0	0	8.680209698558322	18.825375384313688	PPP1R15A
Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744)	1/22	0.11431818134243751	0.2553791763151111	0	0	8.680209698558322	18.825375384313688	CRY1
Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045)	2/106	0.11559221413005369	0.2575631643051709	0	0	3.5231481481481484	7.601849819751346	CCND2;PHF10
Negative Regulation Of Translation (GO:0017148)	2/107	0.11738902701629246	0.25766236485242194	0	0	3.4894179894179893	7.4752470116047744	EIF4EBP1;CALR
Positive Regulation Of T Cell Activation (GO:0050870)	2/107	0.11738902701629246	0.25766236485242194	0	0	3.4894179894179893	7.4752470116047744	PHF10;SLC7A1
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	HMOX1
Negative Regulation Of Neuron Differentiation (GO:0045665)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	CALR
Regulation Of Myotube Differentiation (GO:0010830)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	BHLHA15
Cell-Cell Signaling By Wnt (GO:0198738)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	WNT5A
Rescue Of Stalled Ribosome (GO:0072344)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	TCF25
Entrainment Of Circadian Clock By Photoperiod (GO:0043153)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	CRY1
Positive Regulation Of Neuron Apoptotic Process (GO:0043525)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	NUPR1
Zinc Ion Transport (GO:0006829)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	SLC39A14
Protein N-linked Glycosylation Via Asparagine (GO:0018279)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	DERL3
Protein Alkylation (GO:0008213)	1/23	0.11919478788339885	0.25766236485242194	0	0	8.285237698081735	17.62266952343559	FAM98A
Regulation Of Cytokine Production Involved In Immune Response (GO:0002718)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	WNT5A
Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902235)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	SYVN1
Fc-gamma Receptor Signaling Pathway (GO:0038094)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	VAV3
Regulation Of Ruffle Assembly (GO:1900027)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	FAM98A
Photoperiodism (GO:0009648)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	CRY1
Response To Purine-Containing Compound (GO:0014074)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	VGF
Fat-Soluble Vitamin Metabolic Process (GO:0006775)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	GGCX
Iron Ion Transport (GO:0006826)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	SLC39A14
Regulation Of Actin Nucleation (GO:0051125)	1/24	0.12404478645351757	0.2622747431340798	0	0	7.924611088950938	16.539555634121136	ARFIP2
Mitotic Cell Cycle Phase Transition (GO:0044772)	2/111	0.12464601946525738	0.26287927439239595	0	0	3.3606863744478424	6.997881296804414	CCND2;EIF4EBP1
Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)	2/112	0.12647705879037058	0.26287927439239595	0	0	3.32996632996633	6.885352535182575	CCND2;TRIB3
Regulation Of Protein Ubiquitination (GO:0031396)	2/113	0.12831456110661343	0.26287927439239595	0	0	3.2997997997998	6.7753816546365675	CRY1;SQSTM1
Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	TRIB3
Activation Of Protein Kinase B Activity (GO:0032148)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	WNT5A
Negative Regulation Of Response To Endoplasmic Reticulum Stress (GO:1903573)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	SYVN1
Regulation Of Postsynapse Organization (GO:0099175)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	WNT5A
Peptide Hormone Secretion (GO:0030072)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	PTPRN
Regulation Of Synapse Organization (GO:0050807)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	WNT5A
Positive Regulation Of T Cell Migration (GO:2000406)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	WNT5A
Ventricular Cardiac Muscle Tissue Development (GO:0003229)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	TPM1
Lamellipodium Assembly (GO:0030032)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	ARFIP2
Myotube Differentiation (GO:0014902)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	KCNH1
Regulation Of Biomineral Tissue Development (GO:0070167)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	SGMS2
Regulation Of Cell Size (GO:0008361)	1/25	0.1288683209334415	0.26287927439239595	0	0	7.594036697247707	15.559909052128898	VAV3
Regulation Of Cell Population Proliferation (GO:0042127)	7/766	0.129402147717428	0.26335003832891085	0	0	1.7129974289113166	3.5027890456820883	CCND2;CCKBR;NUPR1;CALR;FAM98A;KCNH1;GNL3
Fc Receptor Signaling Pathway (GO:0038093)	1/26	0.13366553435296216	0.26825715785848525	0	0	7.289908256880734	14.670317893037893	VAV3
Regulation Of Fatty Acid Biosynthetic Process (GO:0042304)	1/26	0.13366553435296216	0.26825715785848525	0	0	7.289908256880734	14.670317893037893	TRIB3
Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)	1/26	0.13366553435296216	0.26825715785848525	0	0	7.289908256880734	14.670317893037893	WNT5A
Regulation Of Myeloid Cell Differentiation (GO:0045637)	1/26	0.13366553435296216	0.26825715785848525	0	0	7.289908256880734	14.670317893037893	HSPA9
Regulation Of Nucleotide-Excision Repair (GO:2000819)	1/26	0.13366553435296216	0.26825715785848525	0	0	7.289908256880734	14.670317893037893	PHF10
Protein Export From Nucleus (GO:0006611)	1/26	0.13366553435296216	0.26825715785848525	0	0	7.289908256880734	14.670317893037893	CALR
Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902)	2/117	0.13572672370997094	0.2703401763912601	0	0	3.184380032206119	6.359562935624684	CCND2;WNT5A
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	3/232	0.13596774267017775	0.2703401763912601	0	0	2.4071746316777536	4.803126070714424	WNT5A;HMOX1;SQSTM1
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)	2/118	0.1375946935368937	0.2703401763912601	0	0	3.1567688378033205	6.261270797120093	VAV3;SQSTM1
Positive Regulation Of Cell Projection Organization (GO:0031346)	2/118	0.1375946935368937	0.2703401763912601	0	0	3.1567688378033205	6.261270797120093	NDRG4;WNT5A
Regulation Of Immunoglobulin Production (GO:0002637)	1/27	0.13843656903810214	0.2703401763912601	0	0	7.009174311926605	13.859542066692878	DNAJB9
Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114)	1/27	0.13843656903810214	0.2703401763912601	0	0	7.009174311926605	13.859542066692878	WNT5A
Phospholipid Biosynthetic Process (GO:0008654)	1/27	0.13843656903810214	0.2703401763912601	0	0	7.009174311926605	13.859542066692878	SGMS2
Synaptic Transmission, Glutamatergic (GO:0035249)	1/27	0.13843656903810214	0.2703401763912601	0	0	7.009174311926605	13.859542066692878	SLC1A4
Iron-Sulfur Cluster Assembly (GO:0016226)	1/27	0.13843656903810214	0.2703401763912601	0	0	7.009174311926605	13.859542066692878	HSPA9
Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443)	1/27	0.13843656903810214	0.2703401763912601	0	0	7.009174311926605	13.859542066692878	TRIB3
Metallo-Sulfur Cluster Assembly (GO:0031163)	1/27	0.13843656903810214	0.2703401763912601	0	0	7.009174311926605	13.859542066692878	HSPA9
Regulation Of Actin Polymerization Or Depolymerization (GO:0008064)	1/27	0.13843656903810214	0.2703401763912601	0	0	7.009174311926605	13.859542066692878	WDR1
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	4/364	0.1410615579262005	0.2748486408920813	0	0	2.047169811320755	4.0095026595893035	SLC24A3;ADM2;WNT5A;FAM98A
Positive Regulation Of Fibroblast Proliferation (GO:0048146)	1/28	0.14318156655626552	0.2771153259184738	0	0	6.749235474006116	13.118095901226413	WNT5A
Limb Development (GO:0060173)	1/28	0.14318156655626552	0.2771153259184738	0	0	6.749235474006116	13.118095901226413	SMOC1
Protein Localization To Golgi Apparatus (GO:0034067)	1/28	0.14318156655626552	0.2771153259184738	0	0	6.749235474006116	13.118095901226413	ARL5A
Potassium Ion Transport (GO:0006813)	2/122	0.14512271872735336	0.2802480946090446	0	0	3.050925925925926	5.888822652867504	SLC24A3;KCNH1
Organonitrogen Compound Biosynthetic Process (GO:1901566)	2/123	0.14701818018409943	0.2806237558678253	0	0	3.0255586164677073	5.800598029961699	ORMDL2;SGMS2
Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)	2/123	0.14701818018409943	0.2806237558678253	0	0	3.0255586164677073	5.800598029961699	PTPRN;WNT5A
Regulation Of Autophagy (GO:0010506)	3/241	0.14739456881310709	0.2806237558678253	0	0	2.315086782376502	4.432562726325861	TRIB3;NUPR1;SQSTM1
Regulation Of Establishment Of Planar Polarity (GO:0090175)	1/29	0.14790066764955578	0.2806237558678253	0	0	6.507863695937091	12.43792277689215	WNT5A
TOR Signaling (GO:0031929)	1/29	0.14790066764955578	0.2806237558678253	0	0	6.507863695937091	12.43792277689215	EIF4EBP1
Regulation Of Muscle Contraction (GO:0006937)	1/29	0.14790066764955578	0.2806237558678253	0	0	6.507863695937091	12.43792277689215	TPM1
Positive Regulation Of B Cell Proliferation (GO:0030890)	1/29	0.14790066764955578	0.2806237558678253	0	0	6.507863695937091	12.43792277689215	VAV3
Chondrocyte Differentiation (GO:0002062)	1/29	0.14790066764955578	0.2806237558678253	0	0	6.507863695937091	12.43792277689215	SLC39A14
Regulation Of Mitotic Cell Cycle (GO:0007346)	2/125	0.15082445066786654	0.28517031565354145	0	0	2.9760614272809396	5.629632960029903	EIF4EBP1;ASNS
Regulation Of Potassium Ion Transport (GO:0043266)	1/30	0.15259401240379375	0.28517031565354145	0	0	6.283138247390067	11.812139044804999	KCNIP1
Regulation Of Vasculature Development (GO:1901342)	1/30	0.15259401240379375	0.28517031565354145	0	0	6.283138247390067	11.812139044804999	HMOX1
Positive Regulation Of JUN Kinase Activity (GO:0043507)	1/30	0.15259401240379375	0.28517031565354145	0	0	6.283138247390067	11.812139044804999	WNT5A
Lamellipodium Organization (GO:0097581)	1/30	0.15259401240379375	0.28517031565354145	0	0	6.283138247390067	11.812139044804999	ARFIP2
Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315)	1/30	0.15259401240379375	0.28517031565354145	0	0	6.283138247390067	11.812139044804999	ARFIP2
Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)	1/30	0.15259401240379375	0.28517031565354145	0	0	6.283138247390067	11.812139044804999	HMOX1
Negative Regulation Of Cell Population Proliferation (GO:0008285)	4/379	0.15629271769877404	0.2877062150095021	0	0	1.9637735849056603	3.6448121500839883	NDRG4;WNT5A;HMOX1;NUPR1
Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	HMOX1
Regulation Of Gluconeogenesis (GO:0006111)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	CRY1
Regulation Of Long-Term Synaptic Potentiation (GO:1900271)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	SQSTM1
Regulation Of Macrophage Activation (GO:0043030)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	WNT5A
Cardiac Muscle Tissue Morphogenesis (GO:0055008)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	TPM1
Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	CCND2
Positive Regulation Of Mononuclear Cell Migration (GO:0071677)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	CALR
Glutamine Family Amino Acid Metabolic Process (GO:0009064)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	ALDH18A1
Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052)	1/31	0.15726174007999252	0.2877062150095021	0	0	6.073394495412844	11.234830711924577	NUPR1
Regulation Of DNA Repair (GO:0006282)	2/129	0.15849526926914714	0.2893537583926237	0	0	2.8817439486730825	5.3082603417224234	PHF10;MORF4L2
Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902099)	1/32	0.16190398922127963	0.2925042965349106	0	0	5.877182598401894	10.70089066901795	PHF10
Regulation Of Transmembrane Transport (GO:0034762)	1/32	0.16190398922127963	0.2925042965349106	0	0	5.877182598401894	10.70089066901795	TRIB3
Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438)	1/32	0.16190398922127963	0.2925042965349106	0	0	5.877182598401894	10.70089066901795	TRIB3
Mitochondrial Membrane Organization (GO:0007006)	1/32	0.16190398922127963	0.2925042965349106	0	0	5.877182598401894	10.70089066901795	HSPA9
Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205)	1/32	0.16190398922127963	0.2925042965349106	0	0	5.877182598401894	10.70089066901795	ENTPD7
Actin Filament Bundle Assembly (GO:0051017)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	HSP90B1
Regulation Of Potassium Ion Transmembrane Transport (GO:1901379)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	KCNIP1
Cardiac Muscle Contraction (GO:0060048)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	TPM1
Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	WNT5A
Positive Regulation Of Chromosome Organization (GO:2001252)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	GNL3
Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	WNT5A
Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	TPM1
Positive Regulation Of Protein Dephosphorylation (GO:0035307)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	PPP1R15A
Protein K63-linked Deubiquitination (GO:0070536)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	SHMT2
Regulation Of G0 To G1 Transition (GO:0070316)	1/33	0.16652089761775044	0.29471824853324874	0	0	5.6932339449541285	10.205887393977246	PHF10
Cellular Response To Metal Ion (GO:0071248)	2/135	0.17013425657872971	0.2991888358861708	0	0	2.7509050403787247	4.872313352869662	WNT5A;KCNH1
Embryonic Skeletal System Development (GO:0048706)	1/34	0.1711126023422634	0.2991888358861708	0	0	5.520433694745622	9.745958280916204	WNT5A
Positive Regulation Of Immunoglobulin Production (GO:0002639)	1/34	0.1711126023422634	0.2991888358861708	0	0	5.520433694745622	9.745958280916204	DNAJB9
Inner Mitochondrial Membrane Organization (GO:0007007)	1/34	0.1711126023422634	0.2991888358861708	0	0	5.520433694745622	9.745958280916204	HSPA9
Protein Targeting To Vacuole (GO:0006623)	1/34	0.1711126023422634	0.2991888358861708	0	0	5.520433694745622	9.745958280916204	SQSTM1
Regulation Of Blood Circulation (GO:1903522)	1/34	0.1711126023422634	0.2991888358861708	0	0	5.520433694745622	9.745958280916204	TPM1
Potassium Ion Transmembrane Transport (GO:0071805)	2/137	0.1740459858963565	0.30309811972732226	0	0	2.7098765432098766	4.738044966412776	SLC24A3;KCNH1
Protein Localization To Organelle (GO:0033365)	2/137	0.1740459858963565	0.30309811972732226	0	0	2.7098765432098766	4.738044966412776	PPP1R15A;CALR
One-Carbon Compound Transport (GO:0019755)	1/35	0.17567923971100938	0.30350946184665434	0	0	5.3577981651376145	9.31772240223673	CYB5R1
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)	1/35	0.17567923971100938	0.30350946184665434	0	0	5.3577981651376145	9.31772240223673	CALR
Liver Development (GO:0001889)	1/35	0.17567923971100938	0.30350946184665434	0	0	5.3577981651376145	9.31772240223673	PCK2
Protein Methylation (GO:0006479)	1/35	0.17567923971100938	0.30350946184665434	0	0	5.3577981651376145	9.31772240223673	FAM98A
Intracellular Calcium Ion Homeostasis (GO:0006874)	2/139	0.17797240494752795	0.30686115059405117	0	0	2.670045958367126	4.608837803445719	SLC24A3;CALR
Regulation Of Erythrocyte Differentiation (GO:0045646)	1/36	0.18022094533098648	0.3082913415209198	0	0	5.204456094364351	8.918208712384002	HSPA9
Negative Regulation Of Organelle Assembly (GO:1902116)	1/36	0.18022094533098648	0.3082913415209198	0	0	5.204456094364351	8.918208712384002	NUPR1
Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168)	1/36	0.18022094533098648	0.3082913415209198	0	0	5.204456094364351	8.918208712384002	MORF4L2
Histone Deacetylation (GO:0016575)	1/36	0.18022094533098648	0.3082913415209198	0	0	5.204456094364351	8.918208712384002	MORF4L2
Negative Regulation Of Signal Transduction (GO:0009968)	3/267	0.1820177633071928	0.31075331299400893	0	0	2.0843245539507222	3.550961602490061	NDRG4;CRY1;CALR
Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)	1/37	0.18473785407880725	0.314162808599772	0	0	5.059633027522936	8.54479661722006	TPM1
Mitochondrion Disassembly (GO:0061726)	1/37	0.18473785407880725	0.314162808599772	0	0	5.059633027522936	8.54479661722006	SQSTM1
Actin Filament Organization (GO:0007015)	2/144	0.18784761885843795	0.31684192091489394	0	0	2.575378195096505	4.306352159883745	TPM1;DSTN
Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036)	1/38	0.18923010006309546	0.31684192091489394	0	0	4.9226382345648405	8.195166505969269	NUPR1
Regulation Of Neurotransmitter Secretion (GO:0046928)	1/38	0.18923010006309546	0.31684192091489394	0	0	4.9226382345648405	8.195166505969269	MCTP2
Regulation Of Telomere Maintenance (GO:0032204)	1/38	0.18923010006309546	0.31684192091489394	0	0	4.9226382345648405	8.195166505969269	GNL3
Response To cAMP (GO:0051591)	1/38	0.18923010006309546	0.31684192091489394	0	0	4.9226382345648405	8.195166505969269	VGF
Response To Transforming Growth Factor Beta (GO:0071559)	1/38	0.18923010006309546	0.31684192091489394	0	0	4.9226382345648405	8.195166505969269	WNT5A
Positive Regulation Of Myoblast Differentiation (GO:0045663)	1/38	0.18923010006309546	0.31684192091489394	0	0	4.9226382345648405	8.195166505969269	PHF10
Heart Looping (GO:0001947)	1/38	0.18923010006309546	0.31684192091489394	0	0	4.9226382345648405	8.195166505969269	NDRG4
Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062)	1/39	0.19369781676341763	0.320616005271257	0	0	4.792853693867697	7.8672583563896525	KCNIP1
Nuclear Transport (GO:0051169)	1/39	0.19369781676341763	0.320616005271257	0	0	4.792853693867697	7.8672583563896525	RBM15B
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244)	1/39	0.19369781676341763	0.320616005271257	0	0	4.792853693867697	7.8672583563896525	NUPR1
Positive Regulation Of Lymphocyte Differentiation (GO:0045621)	1/39	0.19369781676341763	0.320616005271257	0	0	4.792853693867697	7.8672583563896525	PHF10
Histone H4 Acetylation (GO:0043967)	1/39	0.19369781676341763	0.320616005271257	0	0	4.792853693867697	7.8672583563896525	MORF4L2
